name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,onshore,pump,pump_open,solar
2025-cheap-ets,BA,W,emissions_MtCO2,,10.292,,,,,,,,,0,,,,,,0,0,0,,,2.753,,,,,,,0,,0,0
2025-cheap-ets,BA,W,export_TWh,,0.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,W,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,W,import_TWh,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,W,inflow_TWh,,,,,,,,,,,,,,,,,2.2,0.119,0.027,,,,,,,,,,,,0.295,
2025-cheap-ets,BA,W,load_TWh,,6.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,W,net_import_TWh,,-0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,W,opex_mn_EUR,,,,,,,,,,,,,,,,,7.681,0.238,0.055,,,223.599,,,,,,,0,,1.173,0
2025-cheap-ets,BA,W,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
2025-cheap-ets,BA,W,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,BA,W,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,BA,W,production_TWh,,22.53,,,,,,,,,0,,,,,,2.56,0.119,0.027,,,2.753,,,,,,,0.5,,0.293,0.097
2025-cheap-ets,BA,W,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,W,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,BA,W,production_hours,,,,,,,,,,,0,,,,,,4392,1153,4392,,,4392,,,,,,,,,819,
2025-cheap-ets,BA,W,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.097
2025-cheap-ets,BA,W,wholesale_expenses_mn_EUR,56.72,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0.028,
2025-cheap-ets,BA,W,wholesale_revenues_mn_EUR,59.866,,,,,,,,,,,,,,,,212.765,9.825,2.35,,,236.707,,,,,,,42.666,,24.238,8.776
2025-cheap-ets,BA,Y,avg_consumer_price_EUR_per_MWh,,86.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,Y,avg_producer_price_EUR_per_MWh,,86.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,Y,capacity_GW,,3.875,,,,,,,,,,,,,,,1.906,0.109,0.025,,,0.691,,,,,,,0.497,,0.44,0.207
2025-cheap-ets,BA,Y,capacity_factor,,0.332,,,,,,,,,,,,,,,0.25,0.246,0.246,,,0.85,,,,,,,0.219,,0.113,0.151
2025-cheap-ets,BA,Y,capex_mn_EUR_per_yr,,,,,,,,,,,,,,,,,387.194,22.062,5.079,,,55.288,,,,,,,75.955,,89.384,15.112
2025-cheap-ets,BA,Y,charged_TWh,,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,
2025-cheap-ets,BA,Y,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,Y,discharged_TWh,,4.892,,,,,,,,,,,,,,,4.168,0.234,0.054,,,,,,,,,,,,0.435,
2025-cheap-ets,BA,Y,emissions_MtCO2,,5.146,,,,,,,,,0,,,,,,0,0,0,,,5.146,,,,,,,0,,0,0
2025-cheap-ets,BA,Y,export_TWh,,1.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,Y,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,Y,import_TWh,,1.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,Y,inflow_TWh,,,,,,,,,,,,,,,,,4.168,0.234,0.054,,,,,,,,,,,,0.435,
2025-cheap-ets,BA,Y,load_TWh,,11.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,Y,net_import_TWh,,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,Y,opex_mn_EUR,,,,,,,,,,,,,,,,,12.505,0.469,0.108,,,418.097,,,,,,,0,,1.742,0
2025-cheap-ets,BA,Y,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
2025-cheap-ets,BA,Y,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,BA,Y,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,BA,Y,production_TWh,,11.265,,,,,,,,,0,,,,,,4.168,0.234,0.054,,,5.146,,,,,,,0.953,,0.435,0.274
2025-cheap-ets,BA,Y,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,Y,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,BA,Y,production_hours,,,,,,,,,,,0,,,,,,8760,2302,8760,,,8760,,,,,,,,,1291,
2025-cheap-ets,BA,Y,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953,,,0.274
2025-cheap-ets,BA,Y,wholesale_expenses_mn_EUR,129.238,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0.028,
