name,year,week,neighbour,ImportTWh,ExportTWh
Kritický 25,2009,37,PL,0,0.057
Kritický 25,2009,37,DE,0.112,0
Kritický 25,2009,38,AT,0.052,0
Kritický 25,2009,38,SK,0.001,0.053
Kritický 25,2009,38,PL,0.005,0.046
Kritický 25,2009,38,DE,0.101,0.002
Kritický 25,2009,39,AT,0.041,0.001
Kritický 25,2009,39,SK,0,0.066
Kritický 25,2009,39,PL,0.001,0.056
Kritický 25,2009,39,DE,0.071,0.004
Kritický 25,2009,40,AT,0.043,0
Kritický 25,2009,40,SK,0,0.091
Kritický 25,2009,40,PL,0.001,0.059
Kritický 25,2009,40,DE,0.178,0.001
Kritický 25,2009,41,AT,0.055,0
Kritický 25,2009,41,SK,0,0.078
Kritický 25,2009,41,PL,0.003,0.052
Kritický 25,2009,41,DE,0.139,0
Kritický 25,2009,42,AT,0.064,0
Kritický 25,2009,42,SK,0,0.092
Kritický 25,2009,42,PL,0,0.06
Kritický 25,2009,42,DE,0.157,0.005
Kritický 25,2009,43,AT,0.054,0
Kritický 25,2009,43,SK,0,0.074
Kritický 25,2009,43,PL,0,0.076
Kritický 25,2009,43,DE,0.116,0.005
Kritický 25,2009,44,AT,0.057,0
Kritický 25,2009,44,SK,0.005,0.064
Kritický 25,2009,44,PL,0.004,0.063
Kritický 25,2009,44,DE,0.12,0.003
Kritický 25,2009,45,AT,0.051,0
Kritický 25,2009,45,SK,0,0.053
Kritický 25,2009,45,PL,0.002,0.065
Kritický 25,2009,45,DE,0.093,0.001
Kritický 25,2009,46,AT,0.038,0
Kritický 25,2009,46,SK,0,0.092
Kritický 25,2009,46,PL,0.001,0.062
Kritický 25,2009,46,DE,0.166,0
Kritický 25,2009,47,AT,0.035,0
Kritický 25,2009,47,SK,0,0.116
Kritický 25,2009,47,PL,0.003,0.074
Kritický 25,2009,47,DE,0.221,0
Kritický 25,2009,48,AT,0.04,0.003
Kritický 25,2009,48,SK,0.003,0.072
Kritický 25,2009,48,PL,0.005,0.051
Kritický 25,2009,48,DE,0.137,0.007
Kritický 25,2009,49,AT,0.054,0
Kritický 25,2009,49,SK,0,0.108
Kritický 25,2009,49,PL,0.001,0.07
Kritický 25,2009,49,DE,0.18,0.003
Kritický 25,2009,50,AT,0.06,0
Kritický 25,2009,50,SK,0,0.081
Kritický 25,2009,50,PL,0,0.069
Kritický 25,2009,50,DE,0.205,0
Kritický 25,2009,51,AT,0.066,0.001
Kritický 25,2009,51,SK,0,0.079
Kritický 25,2009,51,PL,0.003,0.072
Kritický 25,2009,51,DE,0.248,0
Kritický 25,2009,52,AT,0.037,0
Kritický 25,2009,52,SK,0.001,0.049
Kritický 25,2009,52,PL,0,0.063
Kritický 25,2009,52,DE,0.113,0.001
Dražší povolenka,2009,1,AT,0.054,0.004
Dražší povolenka,2009,1,SK,0,0.071
Dražší povolenka,2009,1,PL,0.003,0.055
Dražší povolenka,2009,1,DE,0.227,0.001
Dražší povolenka,2009,2,AT,0.06,0
Dražší povolenka,2009,2,SK,0,0.087
Dražší povolenka,2009,2,PL,0.02,0.032
Dražší povolenka,2009,2,DE,0.218,0.001
Dražší povolenka,2009,3,AT,0.062,0
Dražší povolenka,2009,3,SK,0,0.099
Dražší povolenka,2009,3,PL,0,0.066
Dražší povolenka,2009,3,DE,0.245,0
Dražší povolenka,2009,4,AT,0.079,0
Dražší povolenka,2009,4,SK,0,0.08
Dražší povolenka,2009,4,PL,0,0.072
Dražší povolenka,2009,4,DE,0.181,0.001
Dražší povolenka,2009,5,AT,0.063,0
Dražší povolenka,2009,5,SK,0,0.068
Dražší povolenka,2009,5,PL,0,0.075
Dražší povolenka,2009,5,DE,0.186,0.002
Dražší povolenka,2009,6,AT,0.066,0
Dražší povolenka,2009,6,SK,0.002,0.04
Dražší povolenka,2009,6,PL,0.002,0.062
Dražší povolenka,2009,6,DE,0.114,0.004
Dražší povolenka,2009,7,AT,0.079,0
Dražší povolenka,2009,7,SK,0.001,0.049
Dražší povolenka,2009,7,PL,0.001,0.065
Dražší povolenka,2009,7,DE,0.137,0.002
